j,s,run_1,run_2,run_3,run_4,run_5,average_absolute_error
1,10,7.74,7.74,7.74,7.74,6.840000000000002,7.5600000000000005
1,200,6.777000000000001,6.777000000000001,6.462,6.911999999999999,7.001999999999999,6.786
1,400,6.8355000000000015,6.8580000000000005,6.678000000000001,6.700500000000002,6.813000000000001,6.777000000000001
1,600,6.708,6.678000000000001,6.767999999999999,6.513,6.423,6.618
1,800,7.022250000000001,6.876000000000001,6.786000000000001,6.729749999999999,6.8535,6.853500000000001
1,1000,6.704999999999999,6.596999999999999,6.732,6.750000000000001,6.777,6.7122
2,10,6.840000000000002,5.039999999999999,5.039999999999999,5.039999999999999,2.3400000000000003,4.86
2,200,4.751999999999999,4.437000000000001,4.706999999999999,4.437000000000001,4.662,4.598999999999999
2,400,4.5855000000000015,5.035500000000001,4.5405,4.5405,4.810499999999999,4.702500000000001
2,600,4.848000000000001,4.638,4.683,4.667999999999999,4.757999999999999,4.718999999999999
2,800,4.659750000000001,4.772250000000001,4.626000000000001,4.985999999999999,5.01975,4.812750000000001
2,1000,4.392,4.635,4.814999999999999,4.580999999999999,4.571999999999998,4.598999999999999
3,10,3.2399999999999998,3.2399999999999998,3.2399999999999998,1.4399999999999995,0.54,2.34
3,200,2.817,2.367,2.7720000000000002,2.952,2.5470000000000006,2.6910000000000003
3,400,2.470500000000001,2.6504999999999996,2.5155,2.1554999999999995,2.448,2.448
3,600,2.567999999999999,2.5979999999999994,2.6729999999999996,2.7479999999999998,2.7479999999999998,2.6669999999999994
3,800,2.7922500000000006,2.4884999999999997,2.6235000000000004,2.61225,2.63475,2.63025
3,1000,2.583,2.7,2.502,2.672999999999999,2.5379999999999994,2.5991999999999997
4,10,2.3400000000000003,3.2399999999999998,3.2399999999999998,3.2399999999999998,-0.3600000000000001,2.484
4,200,1.6920000000000002,2.0520000000000005,1.6920000000000002,1.6470000000000002,1.6920000000000002,1.7550000000000003
4,400,1.5704999999999996,1.4805000000000001,1.7504999999999997,1.6605000000000003,1.6380000000000003,1.6199999999999999
4,600,1.5330000000000004,1.6229999999999998,1.7129999999999996,1.488,1.3679999999999999,1.545
4,800,1.6785,1.7685,1.80225,1.5659999999999994,1.3522499999999993,1.6334999999999997
4,1000,1.5119999999999998,1.4669999999999999,1.7459999999999998,1.4400000000000002,1.5569999999999993,1.5444
5,10,0.54,0.54,2.3400000000000003,2.3400000000000003,5.940000000000001,2.3400000000000007
5,200,0.7920000000000003,1.1069999999999998,1.0169999999999995,1.7369999999999997,1.1520000000000001,1.1609999999999998
5,400,1.4130000000000003,1.4805000000000001,0.9855,1.5704999999999996,1.6605000000000003,1.4220000000000002
5,600,1.053,1.3529999999999998,1.488,1.263,1.4129999999999998,1.314
5,800,1.17225,1.21725,1.0372499999999998,1.21725,1.2622500000000003,1.18125
5,1000,1.1429999999999996,0.873,1.1789999999999996,1.188,1.4759999999999993,1.1717999999999997
6,10,1.4399999999999995,-0.3600000000000001,1.4399999999999995,1.4399999999999995,1.4399999999999995,1.2239999999999998
6,200,0.8370000000000002,0.9270000000000005,0.8370000000000002,1.4220000000000006,1.242,1.0530000000000004
6,400,0.7605,1.0304999999999995,0.6930000000000001,1.008,1.0304999999999995,0.9044999999999999
6,600,0.8729999999999998,0.9179999999999997,0.948,1.0380000000000003,1.0380000000000003,0.9629999999999999
6,800,1.0147499999999998,0.9697499999999999,1.0822499999999997,0.891,0.9810000000000003,0.9877499999999999
6,1000,0.873,0.9269999999999994,0.9179999999999995,1.0889999999999997,0.72,0.9053999999999996
7,10,1.4399999999999995,0.54,-0.3600000000000001,0.54,0.54,0.6839999999999999
